,edges,metagrad,accuracy_before,accuracy_after,loss_before,loss_after,accuracy_before_eval,accuracy_after_eval,loss_before_eval,loss_after_eval
0,136339,-1,0.9342900514602661,0.9342900514602661,0.252867192029953,0.252867192029953,0.9333543181419373,0.9333543181419373,0.2600775957107544,0.2600775957107544
1,86848,-1,0.9342781901359558,0.9342777729034424,0.2522966265678406,0.2522948980331421,0.9333483576774597,0.9333479404449463,0.26006823778152466,0.26006871461868286
2,84965,-1,0.9343196749687195,0.9343188405036926,0.25279468297958374,0.2527942955493927,0.9333838820457458,0.9333831071853638,0.2600696086883545,0.2600708305835724
3,91552,-1,0.9343374371528625,0.934336245059967,0.2522919774055481,0.25229302048683167,0.9333898425102234,0.9333885908126831,0.2600669264793396,0.26006969809532166
4,42170,-1,0.9343907237052917,0.9343891143798828,0.2527884244918823,0.2527889609336853,0.9333543181419373,0.9333526492118835,0.26007792353630066,0.26007866859436035
5,83733,-1,0.9343670606613159,0.9343650341033936,0.2527889311313629,0.2527903914451599,0.9333661198616028,0.9333640933036804,0.26011791825294495,0.26012012362480164
6,109729,-1,0.9343492984771729,0.9343528151512146,0.2528180181980133,0.25281041860580444,0.9333838820457458,0.9333814978599548,0.2601097524166107,0.26011326909065247
7,161007,-1,0.9343196749687195,0.9343287348747253,0.2528206408023834,0.2528078556060791,0.9333364963531494,0.9333395957946777,0.2601293623447418,0.2601216733455658
8,162030,-1,0.9342841506004333,0.9342987537384033,0.2528323531150818,0.25281521677970886,0.9333246946334839,0.9333274364471436,0.26013675332069397,0.26012668013572693
9,96917,-1,0.934272289276123,0.9342865347862244,0.2528419494628906,0.25282424688339233,0.9333187341690063,0.9333211183547974,0.26013484597206116,0.2601259648799896
10,78744,-1,0.9342781901359558,0.9342920780181885,0.2528330981731415,0.2528168261051178,0.933342456817627,0.9333444237709045,0.2601335346698761,0.2601260244846344
11,104914,-1,0.9343196749687195,0.934333086013794,0.25283876061439514,0.2528221011161804,0.9333957433700562,0.9333972930908203,0.26013004779815674,0.2601235508918762
12,160383,-1,0.9342841506004333,0.9342971444129944,0.252332866191864,0.2523176670074463,0.9333838820457458,0.9333850741386414,0.2601501941680908,0.26014259457588196
13,33867,-1,0.9342426657676697,0.9342553019523621,0.2523396611213684,0.25232571363449097,0.9333483576774597,0.9333491325378418,0.2601563632488251,0.26014918088912964
14,64256,-1,0.93425452709198,0.9342667460441589,0.2528384029865265,0.25282546877861023,0.93336021900177,0.9333605170249939,0.260152667760849,0.2601461112499237
15,37602,-1,0.9342604279518127,0.9342723488807678,0.252328485250473,0.25231680274009705,0.9333483576774597,0.9333542585372925,0.2601771652698517,0.2601626515388489
