,edges,metagrad
0,26320,0.00015329572488553822
1,103855,0.00014926126459613442
2,134398,0.00014539060066454113
3,199723,0.000145018522744067
4,40063,0.0001429328549420461
5,175993,0.00014162407023832202
6,33138,0.000139869938720949
7,81723,0.0001385599171044305
8,135373,0.00013626001600641757
9,57873,0.00013565790141001344
10,3089,0.00013394944835454226
11,32615,0.0001337903959210962
12,64257,0.00012963247718289495
13,24324,0.00012951968528795987
14,110910,0.00012750927999150008
15,92836,0.0001273818634217605
16,16888,0.00012408314796630293
17,115985,0.00012337473162915558
18,87081,0.00012222689110785723
19,80295,0.0001220724661834538
20,9538,0.00012151685223216191
21,189021,0.00012025934120174497
22,72160,0.00011986756726400927
23,17824,0.000119760625238996
24,98990,0.00011967947648372501
25,76339,0.00011963201541220769
26,122930,0.00011954120418522507
27,67710,0.00011891097528859973
28,144575,0.00011879503290401772
29,89059,0.00011762832582462579
30,98759,0.00011745984375011176
31,163125,0.00011736882152035832
32,97735,0.00011651407112367451
33,97795,0.00011634799739113078
34,59437,0.00011632796667981893
35,121253,0.00011630975495791063
36,148877,0.00011619855649769306
37,164022,0.0001153594275820069
38,64886,0.00011533984798006713
39,76888,0.00011510516924317926
40,89989,0.00011502902634674683
41,81053,0.00011483191337902099
42,45514,0.00011456522770458832
43,190045,0.00011452747276052833
44,185674,0.00011439605441410094
45,151068,0.00011408692080294713
46,191411,0.00011394441389711574
47,76460,0.0001137080616899766
48,7783,0.00011361986980773509
49,176193,0.00011356225877534598
50,112839,0.0001134542835643515
51,83323,0.00011341030040057376
52,127224,0.00011284888751106337
53,148114,0.00011260770406806841
54,56769,0.00011245814675930887
55,196054,0.00011244893539696932
56,60692,0.0001123179608839564
57,192089,0.00011219437146792188
58,164382,0.00011169786012033
59,149739,0.00011166152398800477
60,45108,0.00011144494055770338
61,9672,0.00011124827869934961
62,65403,0.00011123673903057352
63,170632,0.0001108463475247845
64,103827,0.00011077080125687644
65,1595,0.00011076404189225286
66,27219,0.00011066604929510504
67,141609,0.00011048230953747407
68,26139,0.00011040848767152056
69,64539,0.00010981874220306054
70,21008,0.00010980550723616034
71,188532,0.00010939599451376125
72,152237,0.00010931036376859993
73,54326,0.00010897058382397518
74,55561,0.00010875814768951386
75,195956,0.00010871118865907192
76,181185,0.00010868678509723395
77,173419,0.0001084055402316153
78,4097,0.0001083904062397778
79,126536,0.00010838920570677146
80,135573,0.00010823881166288629
81,35789,0.00010811194078996778
82,69812,0.00010794341505970806
83,112060,0.0001076818080036901
84,74769,0.00010743215534603223
85,6096,0.00010690474300645292
86,88938,0.000106841791421175
87,66784,0.0001066664481186308
88,146741,0.00010661911073839292
89,128231,0.00010660388943506405
90,3707,0.0001062702649505809
91,146358,0.00010623090201988816
92,37004,0.00010577701323200017
93,135843,0.0001057116751326248
94,122883,0.00010535974433878437
95,49780,0.00010506301623536274
96,36134,0.00010471478890394792
97,18461,0.00010464050865266472
98,44582,0.00010455239680595696
99,130252,0.00010444275540066883
100,49137,0.0001044425371219404
101,37002,0.0001043026422848925
102,170894,0.00010413605195935816
103,94875,0.00010406976798549294
104,165125,0.0001040566639858298
105,4887,0.00010401076724519953
106,52042,0.00010380549792898819
