,perturbs,loss
299,0,0.3073364496231079
599,1,0.30741193890571594
899,2,0.30746889114379883
1199,3,0.3075297474861145
1499,4,0.30758753418922424
1799,5,0.3076307475566864
2099,6,0.3077313303947449
2399,7,0.3077886998653412
2699,8,0.3078260123729706
2999,9,0.3078545928001404
3299,10,0.30790838599205017
3599,11,0.3079741597175598
3899,12,0.3080237805843353
4199,13,0.3080602288246155
4499,14,0.30804237723350525
4799,15,0.3080520033836365
5099,16,0.3075622618198395
5399,17,0.3076302111148834
5699,18,0.30713704228401184
5999,19,0.3071926534175873
6299,20,0.30725333094596863
6599,21,0.30729201436042786
6899,22,0.30733829736709595
7199,23,0.30738401412963867
7499,24,0.30745989084243774
7799,25,0.3074544370174408
8099,26,0.3074893355369568
8399,27,0.3075184226036072
8699,28,0.30755236744880676
8999,29,0.3075551688671112
9299,30,0.30758941173553467
9599,31,0.3076407313346863
9899,32,0.30768105387687683
10199,33,0.30715876817703247
10499,34,0.30717408657073975
10799,35,0.30723440647125244
11099,36,0.3073011636734009
11399,37,0.30837470293045044
11699,38,0.3083886206150055
11999,39,0.30842652916908264
12299,40,0.3084820508956909
12599,41,0.30902597308158875
12899,42,0.309063583612442
13199,43,0.30862146615982056
13499,44,0.308633416891098
13799,45,0.30869245529174805
14099,46,0.3092309236526489
14399,47,0.30881357192993164
14699,48,0.3083594739437103
14999,49,0.3088836669921875
15299,50,0.30890563130378723
15599,51,0.3089269995689392
15899,52,0.30893024802207947
16199,53,0.30896085500717163
16499,54,0.30905401706695557
16799,55,0.30906689167022705
17099,56,0.3090934157371521
17399,57,0.3091057538986206
17699,58,0.3091455399990082
17999,59,0.3091868758201599
18299,60,0.30922606587409973
18599,61,0.30925512313842773
18899,62,0.30926811695098877
19199,63,0.3086954355239868
19499,64,0.3087366819381714
19799,65,0.3087601959705353
20099,66,0.3087911903858185
20399,67,0.30881282687187195
20699,68,0.3088030517101288
20999,69,0.3088085949420929
21299,70,0.3093499541282654
21599,71,0.30936959385871887
21899,72,0.30939462780952454
22199,73,0.3094367980957031
22499,74,0.3094426989555359
22799,75,0.3094540238380432
23099,76,0.3095022141933441
23399,77,0.30951130390167236
23699,78,0.30953413248062134
23999,79,0.30958375334739685
24299,80,0.30961206555366516
24599,81,0.3096407949924469
24899,82,0.30916598439216614
25199,83,0.3091461658477783
25499,84,0.30919545888900757
25799,85,0.30920329689979553
26099,86,0.3092096447944641
26399,87,0.30923476815223694
26699,88,0.3093084692955017
26999,89,0.30931365489959717
27299,90,0.30934855341911316
27599,91,0.30936160683631897
27899,92,0.30934953689575195
28199,93,0.30879369378089905
28499,94,0.3093837797641754
28799,95,0.3093878924846649
29099,96,0.30943992733955383
29399,97,0.3094630837440491
29699,98,0.3094877004623413
29999,99,0.30949556827545166
30299,100,0.30953699350357056
30599,101,0.309601753950119
30899,102,0.30956709384918213
31199,103,0.3096129596233368
31499,104,0.3096345067024231
31799,105,0.30967170000076294
32099,106,0.30970218777656555
32399,107,0.30973711609840393
32699,108,0.3097763955593109
32999,109,0.3097746968269348
33299,110,0.30982518196105957
33599,111,0.30987492203712463
33899,112,0.3098900020122528
34199,113,0.30940353870391846
34499,114,0.3094402849674225
34799,115,0.30945250391960144
35099,116,0.3094932436943054
35399,117,0.3095136880874634
35699,118,0.3095369040966034
35999,119,0.30954816937446594
36299,120,0.3095628023147583
36599,121,0.3095647394657135
36899,122,0.30957847833633423
37199,123,0.3095853924751282
37499,124,0.3096076548099518
37799,125,0.3096439242362976
38099,126,0.30965912342071533
38399,127,0.3096698224544525
38699,128,0.30968883633613586
38999,129,0.30969905853271484
39299,130,0.30969491600990295
39599,131,0.3097192645072937
39899,132,0.3097429573535919
40199,133,0.31030532717704773
40499,134,0.31034791469573975
40799,135,0.3103938698768616
41099,136,0.3104401230812073
41399,137,0.31042537093162537
41699,138,0.31046512722969055
41999,139,0.31049466133117676
42299,140,0.3105054199695587
42599,141,0.3110632598400116
42899,142,0.31106969714164734
43199,143,0.31108060479164124
43499,144,0.31110063195228577
43799,145,0.3111116290092468
44099,146,0.31113794445991516
44399,147,0.31112542748451233
44699,148,0.311170369386673
44999,149,0.3111910820007324
45299,150,0.311177521944046
45599,151,0.31119245290756226
45899,152,0.31121641397476196
46199,153,0.311237096786499
46499,154,0.3112650513648987
