,edges,metagrad,accuracy-before-surrogate,accuracy-after-surrogate,accuracy-unseen-surrogate,loss-before-surrogate,loss-after-surrogate,loss-unseen-surrogate,accuracy-before-target,accuracy-after-target,accuracy-unseen-target,loss-before-target,loss-after-target,loss-unseen-target,auc-before-surrogate,auc-after-surrogate,auc-unseen-surrogate,auc-before-target,auc-after-target,auc-unseen-target
0,149527,0.0002940912381745875,0.8192759156227112,0.8192759156227112,0.798469603061676,0.39734670519828796,0.39734670519828796,0.4492577314376831,0.824419379234314,0.824419379234314,0.8049330115318298,0.3893522024154663,0.3893522024154663,0.4383539855480194,0.9006982676873612,0.9006982676873612,0.8762042282027378,0.9050018898598324,0.9050018898598324,0.8818541423384525
1,113486,0.00028168875724077225,0.8192445635795593,0.81924968957901,0.7985686659812927,0.39738214015960693,0.3973655700683594,0.44926875829696655,0.8244318962097168,0.8244370818138123,0.8049578070640564,0.3893720507621765,0.38935232162475586,0.4383923411369324,0.9006774881873046,0.9006847214982792,0.8761865978116875,0.9049968706760957,0.9050046352583587,0.8818265222511161
2,66451,0.00027282419614493847,0.8192759156227112,0.8192861676216125,0.7985934019088745,0.3975670039653778,0.39748531579971313,0.4492734670639038,0.8243943452835083,0.8244046568870544,0.8048092126846313,0.38948214054107666,0.38941431045532227,0.43830329179763794,0.9006159440384539,0.9006341654420538,0.8761587225847602,0.9049556602689113,0.9049741201627793,0.8818605441342426
3,31116,0.0002700575569178909,0.8192570805549622,0.819272518157959,0.7986429333686829,0.3976254165172577,0.3975009620189667,0.44924381375312805,0.8243818283081055,0.8243973255157471,0.8046358227729797,0.3895321190357208,0.3894098401069641,0.43829119205474854,0.9006029527334245,0.9006314310251708,0.8761786860311074,0.9049510257450455,0.9049804109726689,0.8818632586722929
4,111147,0.0002658658486325294,0.8193009495735168,0.8193214535713196,0.7988162636756897,0.3976636826992035,0.3975180983543396,0.44930359721183777,0.8244318962097168,0.8244525790214539,0.8047101497650146,0.3895553946495056,0.3894219994544983,0.4383832812309265,0.9005840954890647,0.900620450449036,0.8761380489181099,0.9049416241899078,0.9049768643628713,0.8818161118198322
5,85126,0.00025973396259360015,0.8192445635795593,0.8192702531814575,0.7987667322158813,0.3977367579936981,0.39752599596977234,0.4492659568786621,0.8243943452835083,0.824420154094696,0.8048834800720215,0.38958296179771423,0.3894273042678833,0.43838435411453247,0.9005668202775035,0.9006142230009797,0.8761428327854374,0.9049326967369762,0.9049761119275506,0.8818184080761493
6,70073,0.000253572448855266,0.819206953048706,0.8192377686500549,0.7986924648284912,0.39781248569488525,0.39757293462753296,0.4492880702018738,0.8243943452835083,0.8244253396987915,0.8049330115318298,0.3896094858646393,0.3894217312335968,0.4383303225040436,0.90053129828208,0.9005876661160865,0.8761063465973209,0.9049299450739352,0.9049828643720247,0.8818397379912665
7,15414,0.00023462827084586024,0.8192257881164551,0.8192616701126099,0.7987419962882996,0.3978539705276489,0.39756807684898376,0.4493196904659271,0.8243818283081055,0.8244179487228394,0.8047348856925964,0.3897140622138977,0.38946521282196045,0.43837496638298035,0.9005253882281482,0.9005922434746019,0.8760869743879103,0.9049002706183724,0.9049642520913932,0.8818146104214709
8,76686,0.00021621491760015488,0.8192445635795593,0.8192856311798096,0.7987667322158813,0.3979101777076721,0.3975628614425659,0.4491584897041321,0.824419379234314,0.8244607448577881,0.8048339486122131,0.3897319436073303,0.38944706320762634,0.43828821182250977,0.9005204818290451,0.9005983400535102,0.87610588293018,0.904905806805987,0.9049797007480123,0.8818519699720329
9,81915,0.00021578036830760539,0.8192006945610046,0.8192468881607056,0.7988410592079163,0.3979816138744354,0.39758604764938354,0.4491024911403656,0.824419379234314,0.8244658708572388,0.8049330115318298,0.3897871971130371,0.38946282863616943,0.4382096529006958,0.9004991583748927,0.9005875605294561,0.8761118774839312,0.9048924390177691,0.9049765309006408,0.8818615892252588
10,13450,0.0002138435811502859,0.8191694021224976,0.8192207217216492,0.7989896535873413,0.39803510904312134,0.39761170744895935,0.4490722119808197,0.8243943452835083,0.8244459629058838,0.8048834800720215,0.3898311257362366,0.3894553780555725,0.43813467025756836,0.9004803985823671,0.9005776641931189,0.8761190446984937,0.904884628763062,0.9049795752521701,0.8818855686668956
11,134235,0.00021213230502326041,0.819175660610199,0.819232165813446,0.7989896535873413,0.39809945225715637,0.3976128101348877,0.448874294757843,0.8243818283081055,0.8244386315345764,0.8047844171524048,0.3898840844631195,0.389461874961853,0.43796002864837646,0.9004666279110669,0.9005749494397548,0.8761433369314557,0.9048719618288192,0.9049775615359009,0.881911854177911
