,edges,metagrad,accuracy_before,accuracy_after,accuracy_unseen,loss_before,loss_after,loss_unseen,accuracy_before_eval,accuracy_after_eval,accuracy_unseen_eval,loss_before_eval,loss_after_eval,loss_unseen_eval
0,64572,0.00025150133296847343,0.9082126617431641,0.9082126617431641,0.7605556845664978,0.21311624348163605,0.21311624348163605,0.7249366044998169,0.9091523885726929,0.9091523885726929,0.7618434429168701,0.2118370085954666,0.2118370085954666,0.7242200970649719
1,45202,0.00024369677703361958,0.9080936312675476,0.9080930352210999,0.759911835193634,0.2131703794002533,0.21317097544670105,0.7251201868057251,0.9089018106460571,0.9089074730873108,0.7621406316757202,0.2123839408159256,0.21237750351428986,0.7258033156394958
2,136204,0.00024102971656247973,0.9079933762550354,0.9079985618591309,0.7608033418655396,0.213313028216362,0.21328957378864288,0.7241317629814148,0.9088391661643982,0.9088380336761475,0.7618682384490967,0.21236807107925415,0.21237054467201233,0.7242218852043152
3,1810,0.00023137425887398422,0.907924473285675,0.9079227447509766,0.7596889734268188,0.21344313025474548,0.2134466916322708,0.725339412689209,0.9091336131095886,0.9091382026672363,0.7621158361434937,0.21180357038974762,0.21180075407028198,0.7242087721824646
4,111703,0.00023203752061817795,0.907874345779419,0.9078720211982727,0.7603080868721008,0.21337807178497314,0.2133825570344925,0.7249413132667542,0.909027099609375,0.9090248346328735,0.7618434429168701,0.2116299420595169,0.2116319090127945,0.7239127159118652
5,116087,0.00021674553863704205,0.90781170129776,0.9078088402748108,0.7604566812515259,0.21359924972057343,0.21360255777835846,0.7252994179725647,0.9088078141212463,0.9088175296783447,0.7618434429168701,0.21269838511943817,0.21266362071037292,0.7265709638595581
6,48536,0.00021210632985457778,0.9078555703163147,0.9078521132469177,0.7603328227996826,0.21357256174087524,0.2135765701532364,0.7251611351966858,0.9090584516525269,0.9090675711631775,0.7620415687561035,0.21193547546863556,0.21190325915813446,0.7261899709701538
7,14748,0.00021186299272812903,0.9080623388290405,0.9080708026885986,0.7606547474861145,0.21339358389377594,0.21335825324058533,0.7294293642044067,0.9091273546218872,0.9091233611106873,0.7619177103042603,0.21159964799880981,0.21160505712032318,0.7237865328788757
8,153394,0.00021098172874189913,0.9079495668411255,0.9079574942588806,0.7607538104057312,0.21337372064590454,0.21333882212638855,0.7290485501289368,0.90913987159729,0.9091416001319885,0.7615215182304382,0.21154208481311798,0.2115442007780075,0.7237390875816345
9,75322,0.0002096133102895692,0.9076425433158875,0.9076498746871948,0.7607786059379578,0.2152125984430313,0.21518290042877197,0.7300727963447571,0.9090145826339722,0.9090157151222229,0.7618929743766785,0.21162080764770508,0.2116246223449707,0.7237016558647156
10,91331,0.0002101812424371019,0.9079307317733765,0.9079249501228333,0.7606547474861145,0.2135237157344818,0.21353289484977722,0.7243387699127197,0.9090020656585693,0.9090151190757751,0.7619672417640686,0.2119329869747162,0.21189971268177032,0.7264068722724915
11,75349,0.00022768171038478613,0.9079558253288269,0.9079495072364807,0.7599613666534424,0.21396008133888245,0.21396996080875397,0.7310284376144409,0.9090396165847778,0.9090521931648254,0.7620911002159119,0.21188002824783325,0.2118498533964157,0.7242026925086975
12,9394,0.0002099234698107466,0.9078618288040161,0.9078800082206726,0.7603328227996826,0.21366390585899353,0.21359838545322418,0.7242926359176636,0.90891432762146,0.908913791179657,0.7616453170776367,0.2120555341243744,0.21206292510032654,0.7251045107841492
13,3805,0.00020650660735554993,0.9080122113227844,0.9080109596252441,0.7603328227996826,0.21360138058662415,0.21359916031360626,0.7250930070877075,0.9089205861091614,0.9089382290840149,0.7619920372962952,0.21241264045238495,0.2123754620552063,0.7254857420921326
14,20804,0.00020621169824153185,0.907893180847168,0.9078913927078247,0.7597880363464355,0.21381168067455292,0.2138170450925827,0.7249422073364258,0.909202516078949,0.9092196822166443,0.76176917552948,0.21193423867225647,0.21189680695533752,0.7259146571159363
15,59048,0.00020544980361592025,0.9079056978225708,0.9079033136367798,0.759367048740387,0.2138110101222992,0.21381787955760956,0.7249003052711487,0.9089895486831665,0.9089935421943665,0.7614719867706299,0.21169136464595795,0.211691215634346,0.7237929701805115
16,83210,0.0002024360146606341,0.9079495668411255,0.9079528450965881,0.7597137093544006,0.21394352614879608,0.21393869817256927,0.7256767153739929,0.90913987159729,0.9091432690620422,0.7615710496902466,0.21165207028388977,0.21165357530117035,0.7236214876174927
17,57188,0.0001992325996980071,0.9078367948532104,0.9078395366668701,0.7598375678062439,0.2141193002462387,0.21411411464214325,0.7256624698638916,0.9091837406158447,0.909205436706543,0.7615215182304382,0.21186894178390503,0.21182413399219513,0.7260337471961975
